,transcript,id,tissue,expr,SE,lb,ub,PAN.LIV_q,PAN.KID_q,KID.LIV_q,PAN.LIV.KID_q,shortName,gene,GO,geneLink,transcriptLink
65051,uc011whu,22,liver,3.66,0.38,3.28,4.04,0.125452439,0.004511677,0.001733648,0.000371862,Tcea1,Tcea1,"nucleic acid binding|DNA binding|protein binding|nucleus|nucleoplasm|nucleolus|transcription, DNA-templated|regulation of transcription, DNA-templated|regulation of transcription from RNA polymerase II promoter|zinc ion binding|erythrocyte differentiation|regulation of DNA-templated transcription, elongation|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/21399' target = '_blank'>Tcea1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011whu.1' target = '_blank'>uc011whu</a>
65052,uc007afm,23,liver,3.5,0.14,3.36,3.64,0.028781046,2.05E-05,8.05E-06,6.50E-07,Atp6v1h,Atp6v1h,"vacuolar proton-transporting V-type ATPase, V1 domain|lysosomal membrane|transport|ion transport|endocytosis|ATP hydrolysis coupled proton transport|proton transport|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|proton-transporting ATPase activity, rotational mechanism|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/108664' target = '_blank'>Atp6v1h</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afm.1' target = '_blank'>uc007afm</a>
65053,uc007afn,24,liver,15.44,0.22,15.22,15.66,0.18268332,0.000277055,0.000194856,1.78E-05,Atp6v1h,Atp6v1h,"vacuolar proton-transporting V-type ATPase, V1 domain|lysosomal membrane|transport|ion transport|endocytosis|ATP hydrolysis coupled proton transport|proton transport|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|proton-transporting ATPase activity, rotational mechanism|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/108664' target = '_blank'>Atp6v1h</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afn.1' target = '_blank'>uc007afn</a>
65054,uc007afp,25,liver,0.01,0,0,0.01,NA,NA,NA,NA,Oprk1,Oprk1,signal transducer activity|G-protein coupled receptor activity|opioid receptor activity|opioid receptor activity|opioid receptor activity|plasma membrane|integral component of plasma membrane|integral component of plasma membrane|immune response|signal transduction|G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled receptor signaling pathway|behavior|locomotory behavior|membrane|integral component of membrane|sensory perception of pain|adenylate cyclase-inhibiting opioid receptor signaling pathway|opioid receptor signaling pathway|opioid receptor signaling pathway|dynorphin receptor activity|regulation of saliva secretion|defense response to virus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/18387' target = '_blank'>Oprk1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afp.2' target = '_blank'>uc007afp</a>
65055,uc007afo,26,liver,0.01,0,0,0.01,NA,NA,NA,NA,Oprk1,Oprk1,signal transducer activity|G-protein coupled receptor activity|opioid receptor activity|opioid receptor activity|opioid receptor activity|plasma membrane|integral component of plasma membrane|integral component of plasma membrane|immune response|signal transduction|G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled receptor signaling pathway|behavior|locomotory behavior|membrane|integral component of membrane|sensory perception of pain|adenylate cyclase-inhibiting opioid receptor signaling pathway|opioid receptor signaling pathway|opioid receptor signaling pathway|dynorphin receptor activity|regulation of saliva secretion|defense response to virus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/18387' target = '_blank'>Oprk1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afo.2' target = '_blank'>uc007afo</a>
65056,uc007afl,27,liver,0.02,0.01,0.01,0.03,0.884825693,0.060801211,0.192967565,0.220526471,Rgs20,Rgs20,GTPase activator activity|GTPase activator activity|nucleus|cytoplasm|Golgi apparatus|plasma membrane|G-protein coupled receptor signaling pathway|negative regulation of signal transduction|membrane|termination of G-protein coupled receptor signaling pathway|positive regulation of GTPase activity|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/58175' target = '_blank'>Rgs20</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afl.2' target = '_blank'>uc007afl</a>
65057,uc007afq,28,liver,0.01,0,0,0.01,NA,NA,NA,NA,Oprk1,Oprk1,signal transducer activity|G-protein coupled receptor activity|opioid receptor activity|opioid receptor activity|opioid receptor activity|plasma membrane|integral component of plasma membrane|integral component of plasma membrane|immune response|signal transduction|G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled receptor signaling pathway|behavior|locomotory behavior|membrane|integral component of membrane|sensory perception of pain|adenylate cyclase-inhibiting opioid receptor signaling pathway|opioid receptor signaling pathway|opioid receptor signaling pathway|dynorphin receptor activity|regulation of saliva secretion|defense response to virus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/18387' target = '_blank'>Oprk1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afq.2' target = '_blank'>uc007afq</a>
65058,uc007afr,29,liver,14.04,1.31,12.74,15.35,0.150425948,0.555579838,0.00345998,0.005146298,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afr.2' target = '_blank'>uc007afr</a>
65059,uc011whx,30,liver,15.27,1.43,13.83,16.7,0.148626728,0.616536684,0.003651714,0.006178035,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011whx.1' target = '_blank'>uc011whx</a>
65060,uc007afs,31,liver,8.61,1.08,7.53,9.69,0.084114617,0.304862865,0.003282881,0.007264483,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afs.1' target = '_blank'>uc007afs</a>
65061,uc007aft,32,liver,13.63,0.66,12.97,14.29,0.31647034,0.528357917,0.007366336,0.013314666,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aft.2' target = '_blank'>uc007aft</a>
65062,uc007afu,33,liver,12.41,0.64,11.77,13.04,0.338615612,0.370022657,0.020277592,0.029816689,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afu.2' target = '_blank'>uc007afu</a>
65063,uc007afv,34,liver,0,0,0,0,0.434911443,0.408534864,0.39956677,0.377751291,Fam150a,Fam150a,molecular_function|cellular_component|biological_process|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/620393' target = '_blank'>Fam150a</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afv.2' target = '_blank'>uc007afv</a>
65064,uc007afw,35,liver,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afw.1' target = '_blank'>uc007afw</a>
65065,uc007afx,36,liver,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afx.1' target = '_blank'>uc007afx</a>
65066,uc029qmq,37,liver,0,0,0,0,NA,NA,NA,NA,uc029qmq.1,uc029qmq,,,
65067,uc007aga,38,liver,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aga.1' target = '_blank'>uc007aga</a>
65068,uc007afy,39,liver,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afy.1' target = '_blank'>uc007afy</a>
65069,uc007afz,40,liver,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afz.1' target = '_blank'>uc007afz</a>
65070,uc007agb,41,liver,20.82,2.26,18.56,23.07,0.26943264,0.653296782,0.169334198,0.255568477,Pcmtd1,Pcmtd1,molecular_function|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity|cellular_component|cytoplasm|cellular protein modification process|biological_process|methyltransferase activity|transferase activity|methylation|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/319263' target = '_blank'>Pcmtd1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007agb.1' target = '_blank'>uc007agb</a>
65071,uc007agc,42,liver,20.44,2.15,18.29,22.58,0.347102778,0.674731642,0.154242726,0.263262071,Pcmtd1,Pcmtd1,molecular_function|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity|cellular_component|cytoplasm|cellular protein modification process|biological_process|methyltransferase activity|transferase activity|methylation|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/319263' target = '_blank'>Pcmtd1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007agc.1' target = '_blank'>uc007agc</a>
65072,uc011why,43,liver,19.22,2.02,17.2,21.24,0.417171936,0.561451826,0.132809434,0.285090741,Pcmtd1,Pcmtd1,molecular_function|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity|cellular_component|cytoplasm|cellular protein modification process|biological_process|methyltransferase activity|transferase activity|methylation|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/319263' target = '_blank'>Pcmtd1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011why.1' target = '_blank'>uc011why</a>
65073,uc011whw,44,liver,0,0,0,0,NA,NA,NA,NA,Npbwr1,Npbwr1,signal transducer activity|G-protein coupled receptor activity|plasma membrane|signal transduction|G-protein coupled receptor signaling pathway|neuropeptide receptor activity|membrane|integral component of membrane|regulation of metabolic process|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/226304' target = '_blank'>Npbwr1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011whw.1' target = '_blank'>uc011whw</a>
65074,uc007age,45,liver,0.18,0.02,0.16,0.2,0.85737401,0.084748854,0.609790685,0.927660161,uc007age.1,uc007age,,,
65075,uc007agf,46,liver,0,0,0,0,0.281405329,0.408534864,0.39956677,0.377751291,uc007agf.1,uc007agf,,,
65076,uc029qmr,47,liver,0,0,0,0,NA,NA,NA,NA,uc029qmr.1,uc029qmr,,,
65077,uc029qms,48,liver,0,0,0,0,NA,NA,NA,NA,uc029qms.1,uc029qms,,,
65078,NM_001290390(ref,49,liver,0.01,0,0.01,0.02,0.712244611,0.00010207,0.041446271,0.040689465,NA,NA,NA,NA,NA
65079,NM_001290392(ref,50,liver,0.01,0,0.01,0.02,0.740160208,0.000101216,0.041446271,0.040689465,NA,NA,NA,NA,NA
1,uc007aet,1,pancreas,0.02,0.01,0.01,0.03,0.009757068,0.002814361,0.002757336,0.001828455,uc007aet.1,uc007aet,,,
2,uc007aeu,2,pancreas,0.01,0,0.01,0.01,0.000174995,7.97E-06,1.28E-05,5.05E-06,Xkr4,Xkr4,molecular_function|cellular_component|biological_process|membrane|integral component of membrane|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/497097' target = '_blank'>Xkr4</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aeu.1' target = '_blank'>uc007aeu</a>
3,uc007aev,3,pancreas,0.02,0.01,0.01,0.02,0.042871638,0.004587286,0.009870344,0.000914449,uc007aev.1,uc007aev,,,
4,uc007aew,4,pancreas,3.96,0.14,3.82,4.1,0.354735373,2.42E-09,0.00018831,0.009071075,Rp1,Rp1,photoreceptor outer segment|photoreceptor inner segment|photoreceptor inner segment|cytoplasm|cytoskeleton|microtubule associated complex|cilium|axoneme|negative regulation of microtubule depolymerization|visual perception|microtubule binding|cell projection organization|photoreceptor connecting cilium|photoreceptor connecting cilium|axoneme assembly|intracellular signal transduction|photoreceptor cell outer segment organization|photoreceptor cell development|cell projection|photoreceptor cell maintenance|retinal rod cell development|retinal cone cell development|microtubule polymerization|response to stimulus|retina development in camera-type eye|retina morphogenesis in camera-type eye|cellular response to light stimulus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/19888' target = '_blank'>Rp1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aew.1' target = '_blank'>uc007aew</a>
5,uc007aex,5,pancreas,1.66,0.07,1.59,1.73,0.329530391,8.38E-09,3.82E-05,0.001215517,Rp1,Rp1,photoreceptor outer segment|photoreceptor inner segment|photoreceptor inner segment|cytoplasm|cytoskeleton|microtubule associated complex|cilium|axoneme|negative regulation of microtubule depolymerization|visual perception|microtubule binding|cell projection organization|photoreceptor connecting cilium|photoreceptor connecting cilium|axoneme assembly|intracellular signal transduction|photoreceptor cell outer segment organization|photoreceptor cell development|cell projection|photoreceptor cell maintenance|retinal rod cell development|retinal cone cell development|microtubule polymerization|response to stimulus|retina development in camera-type eye|retina morphogenesis in camera-type eye|cellular response to light stimulus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/19888' target = '_blank'>Rp1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aex.2' target = '_blank'>uc007aex</a>
6,uc007aey,6,pancreas,1.16,0.08,1.07,1.24,0.418119018,0.005615199,0.585474739,0.083776206,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aey.1' target = '_blank'>uc007aey</a>
7,uc007afc,7,pancreas,1.03,0.07,0.97,1.1,0.193740759,0.002194631,0.4403494,0.068522522,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afc.2' target = '_blank'>uc007afc</a>
8,uc007afa,8,pancreas,1.16,0.07,1.09,1.23,0.095401673,0.002869819,0.392227502,0.053022297,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afa.2' target = '_blank'>uc007afa</a>
9,uc033fhy,9,pancreas,1.17,0.07,1.1,1.23,0.118033912,0.002233047,0.39956677,0.054255092,NA,NA,NA,NA,NA
10,uc007afb,10,pancreas,1.1,0.07,1.04,1.17,0.14975025,0.002035387,0.397187559,0.056091467,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afb.2' target = '_blank'>uc007afb</a>
