gene,STOMACH1,STOMACH2,STOMACH3,SALIVARY_GLAND1,SALIVARY_GLAND2,SALIVARY_GLAND3
MICAL1,5829,6606,9317,18092,8477,7737
MICAL2,1672,11873,15763,7978,3660,1540
MICAL3,7447,5440,6271,6328,7252,7306
MICALCL,22,131,173,50,30,44
MICALL1,1487,2272,2928,1906,2285,1305
MICALL2,2074,2324,2728,3078,2864,3686
MICB,223,208,232,312,297,406
MICU1,2356,2634,3399,3011,3142,1717
MICU2,2483,1556,1774,2252,2128,1488
MICU3,994,739,1271,1774,1121,1284
MID1,886,890,1044,1785,3721,3419
MID1IP1,2404,3011,2582,4287,3368,1432
MID2,331,709,793,673,815,274
MIDN,5040,3978,6458,3181,12974,6431
MIEF1,2047,1819,1584,1813,2536,1884
MIEF2,890,340,696,1012,771,498
MIEN1,987,1228,1544,1493,995,797
MIER1,2060,1778,2622,3733,2991,2012
MIER2,1330,1090,1246,1399,1864,1389
MIER3,1210,854,1241,1418,1912,1180
MIF,21,33,28,9,54,2
MIF4GD,952,1071,1901,1674,1772,1261
MIGA1,796,889,851,1214,1442,518
MIGA2,3087,1880,2163,2453,3324,2132
MIIP,1152,1719,1812,1519,1615,2025
MILR1,76,48,50,103,86,239
MIMT1,0,2,2,6,2,2
MINCR,191,132,170,218,251,237
MINDY1,1731,1228,1581,2481,2038,1197
MINDY2,2843,3241,3900,3856,4912,1782
MINDY3,1300,1525,2114,2191,2097,1476
MINDY4,553,2118,2439,3001,2723,797
MINK1,5642,4330,6462,6381,8163,8213
MINOS1,3716,2794,3402,3463,2703,1883
MINPP1,545,551,690,1113,873,454
MIOS,1117,812,810,880,1249,950
MIOX,0,1,2,0,0,3
MIP,5,0,0,4,0,1
MIPEP,891,719,603,737,811,363
MIPOL1,235,476,551,519,587,251
MIR100,0,0,0,0,0,0
MIR100HG,1986,5515,8153,9760,6274,8191
MIR101-1,0,0,0,0,0,0
MIR101-2,0,0,0,0,0,0
MIR103A1,0,0,0,0,0,0
MIR103A2,0,0,0,0,0,0
MIR105-1,0,0,0,0,0,0
MIR105-2,0,0,0,0,0,0
MIR106B,0,0,0,0,0,0
MIR107,0,0,0,0,0,0
MIR10B,0,0,0,0,0,0
MIR1-1,0,0,0,0,0,0
MIR1179,0,0,0,0,0,0
MIR1180,0,0,0,0,0,0
MIR1183,0,0,0,0,0,0
MIR1185-1,0,0,0,0,0,0
MIR1185-2,0,0,0,0,0,0
MIR1193,0,0,0,0,0,0
MIR1197,0,0,0,0,0,0
MIR1200,0,0,0,0,0,0
MIR1202,0,0,0,0,0,0
MIR1203,0,0,0,0,0,0
MIR1205,0,0,0,0,0,0
MIR1207,0,0,0,0,0,0
MIR1208,0,0,0,0,0,0
MIR1224,0,0,0,0,0,0
MIR1225,0,0,0,0,2,0
MIR1226,0,0,0,0,0,0
MIR1227,0,0,0,0,0,0
MIR1228,0,0,0,0,0,0
MIR1229,0,0,0,0,0,0
MIR1231,1,1,0,1,1,0
MIR1233-1,0,0,0,0,0,0
MIR1233-2,0,0,0,0,0,0
MIR1237,0,0,0,0,0,0
MIR1238,0,0,0,0,0,0
MIR124-2,0,0,0,0,0,0
MIR124-3,0,0,0,0,0,0
MIR1245A,0,0,0,0,0,0
MIR1249,0,0,0,0,0,0
MIR1250,0,0,1,0,0,0
MIR1251,0,0,0,0,0,0
MIR1252,0,0,0,0,0,0
MIR1253,0,0,0,0,0,0
MIR1254-1,6,2,3,1,7,1
MIR1254-2,0,0,0,0,0,0
MIR1255A,0,0,0,0,0,0
MIR1255B2,0,0,0,0,0,0
MIR1256,0,0,0,0,0,0
MIR1258,0,0,0,0,0,0
MIR125B1,0,0,0,0,0,0
MIR125B2,0,0,0,0,0,0
MIR126,0,0,0,0,1,2
MIR1261,0,0,0,0,0,0
MIR1262,0,0,0,0,0,0
MIR1263,0,0,0,0,0,0
MIR1265,0,0,0,0,0,0
MIR1266,0,0,0,0,0,0
MIR1267,0,0,0,0,0,0
MIR1268A,0,0,0,0,0,0
MIR1268B,0,0,0,0,0,0
MIR1269A,0,0,0,0,0,0
MIR1269B,0,0,0,0,0,0
MIR1270,0,0,0,0,0,0
MIR1271,0,0,0,0,0,0
MIR1272,0,0,0,0,0,0
MIR1273A,0,0,0,0,0,0
MIR1273C,0,0,0,0,0,0
MIR1273D,0,0,0,0,0,0
MIR1273F,0,0,0,0,0,0
MIR1273G,0,0,0,0,0,0
MIR1275,0,0,0,0,0,0
MIR1276,0,0,0,0,0,0
MIR1277,0,0,0,0,0,0
MIR1278,0,0,0,0,0,0
MIR128-1,0,0,0,0,0,0
MIR128-2,0,0,0,0,0,0
MIR1283-1,0,0,0,0,0,0
MIR1283-2,0,0,0,0,0,0
MIR1284,0,0,0,0,0,0
MIR1285-1,0,0,0,0,1,0
MIR1285-2,0,0,0,0,0,0
MIR1286,0,0,0,0,0,0
MIR1288,0,0,0,0,0,0
MIR1289-1,0,0,0,0,0,1
MIR1289-2,0,0,0,0,0,0
MIR1290,0,0,0,0,0,0
MIR129-1,0,0,0,0,0,0
MIR129-2,0,0,0,0,0,0
MIR1293,0,0,0,0,0,0
MIR1294,0,0,0,0,0,0
MIR1295A,0,0,0,0,0,0
MIR1296,0,0,0,0,0,0
MIR1298,0,0,0,0,0,0
MIR1301,0,0,0,0,0,0
LOC105376912,0,0,0,0,0,0
MIR1302-3,0,0,0,0,0,0
MIR1302-4,0,0,0,0,0,0
MIR1302-5,0,0,0,1,0,2
MIR1302-6,0,0,0,0,0,0
MIR1302-7,0,0,0,0,0,0
MIR1302-8,0,0,0,1,0,0
MIR1303,0,0,0,0,0,0
MIR1305,0,0,0,0,0,0
MIR130A,0,0,0,0,0,0
MIR132,0,0,0,0,0,0
MIR1323,0,0,0,0,0,0
MIR133A1HG,939,17,50,122,52,138
MIR133B,0,1,0,0,0,0
MIR134,0,0,0,0,0,0
MIR1343,0,0,0,0,0,0
MIR135A2,0,0,0,0,0,0
MIR135B,0,0,0,0,0,0
MIR137HG,0,2,0,16,2,0
MIR138-1,0,0,0,0,0,0
MIR138-2,0,0,0,0,0,0
MIR139,0,0,0,0,0,0
MIR140,0,0,1,0,1,2
MIR141,0,0,0,0,0,0
MIR1468,0,0,0,0,0,0
MIR146B,0,0,0,0,0,0
MIR1471,0,0,0,0,0,0
MIR147A,0,0,0,0,0,0
MIR148A,0,0,0,0,0,0
MIR148B,0,0,0,0,0,1
MIR149,0,0,0,0,0,0
MIR151A,0,0,0,0,0,0
MIR151B,0,0,0,0,0,0
MIR152,0,0,0,0,0,0
MIR153-1,0,0,0,0,0,0
MIR153-2,0,0,0,0,0,0
MIR1537,0,0,0,0,0,0
MIR154,0,0,0,0,0,0
MIR155HG,48,58,46,70,28,132
MIR15B,0,0,0,0,0,0
MIR16-1,0,0,0,0,0,0
MIR16-2,0,0,0,0,0,0
MIR17HG,98,22,29,38,141,113
MIR181A1,0,0,0,0,0,0
MIR181A2,0,0,0,0,0,0
MIR181B1,0,0,0,0,0,0
MIR181B2,0,0,0,0,0,0
MIR181C,0,0,0,0,0,0
MIR181D,0,0,0,0,0,0
MIR182,0,0,0,0,0,0
MIR1827,0,0,0,0,0,0
MIR183,0,0,0,0,0,0
MIR184,0,0,0,0,0,0
MIR185,0,0,0,0,0,0
MIR186,0,0,0,2,0,3
MIR187,0,0,0,0,0,0
MIR188,0,0,0,0,0,0
MIR190A,0,0,0,0,0,0
MIR190B,0,0,0,0,0,0
MIR191,0,0,0,0,0,0
MIR1911,0,0,0,0,0,0
MIR1912,0,0,0,0,0,0
MIR1913,0,0,0,0,0,0
MIR1915,0,0,0,0,0,0
MIR193A,1,0,0,0,1,0
MIR193B,0,0,0,0,0,0
MIR194-1,0,0,0,0,0,0
MIR196A1,0,0,0,0,0,0
MIR196A2,0,0,0,0,0,0
MIR1972-1,0,0,0,0,0,0
MIR1972-2,0,0,0,0,0,0
MIR1976,0,0,0,0,0,0
MIR199A1,0,0,0,0,0,0
MIR199A2,4,1,4,1,4,4
MIR199B,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0
MIR200C,0,0,0,0,0,0
MIR200CHG,0,0,0,0,1,0
MIR202HG,2,4,6,2,5,14
MIR203A,0,0,0,0,0,0
MIR204,0,0,0,0,0,0
MIR2052HG,0,0,2,0,1,2
MIR2053,0,0,0,0,0,0
MIR205HG,12,4,0,0,0,3
MIR206,0,0,0,0,0,0
MIR208A,0,0,0,0,0,0
MIR208B,0,0,0,0,0,0
MIR210,0,0,1,0,3,2
MIR211,0,0,0,0,0,0
MIR2113,0,0,0,0,0,0
MIR2114,0,0,0,0,0,0
MIR2115,0,0,0,0,0,0
MIR2116,0,0,0,0,0,0
MIR212,0,0,0,0,0,0
MIR215,0,0,0,0,0,0
MIR216A,0,0,0,0,0,0
MIR216B,0,0,0,0,0,0
MIR217,0,0,0,0,0,0
MIR218-1,0,0,0,0,0,0
MIR218-2,0,0,0,0,0,0
MIR219A1,0,0,0,0,3,0
MIR221,9,0,5,4,13,12
MIR222,0,0,0,0,0,0
MIR2276,0,0,0,0,0,0
MIR2278,0,0,0,0,0,0
MIR22HG,4778,2318,3529,2203,18838,5315
MIR2355,0,0,0,0,0,0
MIR2392,0,0,0,0,0,0
MIR23A,0,0,0,0,0,0
MIR23B,0,0,0,0,3,1
MIR23C,0,0,0,0,0,0
MIR2467,0,0,0,0,0,0
MIR25,1,0,0,0,0,2
MIR2681,0,0,0,0,0,0
MIR26A1,0,0,0,0,0,0
MIR26A2,1,0,1,0,0,0
MIR26B,0,0,0,0,0,0
MIR27A,0,1,0,0,1,0
MIR27B,2,0,0,1,6,8
MIR28,0,0,0,0,0,0
MIR297,0,0,0,0,0,0
MIR298,0,0,0,0,0,0
MIR299,0,0,0,0,0,0
MIR300,0,0,0,0,0,0
MIR301A,0,0,0,0,0,0
MIR301B,0,0,0,0,0,0
MIR302A,0,0,0,0,0,0
MIR302C,0,0,0,0,0,0
MIR302D,0,0,0,0,0,0
MIR302E,0,0,0,0,0,0
MIR3065,0,0,0,0,0,0
MIR30A,0,0,0,0,0,0
MIR30B,0,0,0,0,0,0
MIR30C1,0,0,0,0,0,0
MIR30C2,0,0,0,0,0,0
MIR30D,0,0,0,0,0,0
MIR30E,0,0,0,0,0,0
MIR31,0,0,0,0,0,0
MIR3115,0,0,0,0,0,0
MIR3116-1,0,0,0,0,0,0
MIR3117,0,0,0,0,0,0
MIR3118-1,0,0,0,0,0,0
MIR3118-2,0,0,0,0,0,0
MIR3118-4,0,0,0,0,0,0
MIR3121,0,0,0,0,0,0
MIR3122,0,0,0,0,0,0
MIR3123,0,0,0,0,0,0
MIR3125,0,0,0,0,3,2
MIR3126,0,0,0,0,0,0
MIR3127,0,0,0,0,0,0
MIR3128,0,0,0,0,0,0
MIR3129,0,0,0,0,0,0
MIR3131,0,0,0,0,0,0
MIR3132,0,0,0,0,0,0
MIR3133,0,0,0,0,0,0
MIR3134,0,0,0,0,0,0
MIR3135A,0,0,0,0,0,0
MIR3135B,0,0,0,0,0,0
MIR3136,0,0,0,0,0,0
MIR3137,0,0,0,0,0,0
MIR3138,0,0,0,0,0,0
MIR3139,0,0,0,0,0,0
MIR3140,0,0,0,0,0,0
MIR3141,0,0,0,0,0,0
MIR3142,0,0,0,0,0,0
MIR3142HG,35,9,0,126,17,151
MIR3143,0,0,0,0,0,0
MIR3144,0,0,0,0,0,0
MIR3145,0,0,0,0,0,0
MIR3146,0,0,0,0,0,0
MIR3147,0,0,0,0,0,0
MIR3148,0,0,0,0,0,0
MIR3149,0,0,0,0,0,0
MIR3151,0,0,0,0,0,0
MIR3152,0,0,0,0,0,0
MIR3153,0,0,0,0,0,0
MIR3154,0,0,0,0,0,0
MIR3155A,0,0,0,0,0,0
MIR3156-1,0,0,0,0,0,0
MIR3156-2,0,0,0,0,0,0
MIR3156-3,0,0,0,0,0,0
MIR3157,0,0,0,0,0,0
MIR3158-2,0,0,0,0,0,0
MIR3159,0,0,0,0,0,0
MIR3160-1,0,0,0,0,0,0
MIR3161,0,0,0,0,0,0
MIR3162,0,0,0,0,0,0
MIR3163,0,0,0,0,0,0
MIR3164,1,0,1,2,1,1
MIR3165,0,0,0,0,0,0
MIR3166,0,0,0,0,0,0
MIR3167,0,0,0,0,0,0
MIR3168,0,0,0,0,0,0
MIR3169,0,0,0,0,0,0
MIR3170,0,0,0,0,0,0
MIR3171,0,0,0,0,0,0
MIR3173,0,0,0,0,0,0
MIR3174,0,0,0,0,0,0
MIR3176,0,0,0,0,1,0
MIR3177,0,0,0,0,0,0
MIR3178,0,0,0,0,0,1
MIR3179-2,1,2,10,3,5,8
MIR3179-3,0,0,0,0,0,0
MIR3180-4,0,0,0,0,0,0
MIR3180-5,0,0,0,0,0,0
MIR3181,0,0,0,0,0,0
MIR3182,0,0,0,0,0,0
MIR3183,0,0,0,0,0,0
MIR3186,0,0,0,0,0,1
MIR3188,0,0,0,0,0,0
MIR3189,0,0,0,0,0,0
MIR3190,0,0,1,0,0,0
MIR3192,0,0,0,0,0,0
MIR3193,0,0,0,0,0,0
MIR3194,0,0,0,0,0,0
MIR3196,0,0,0,0,0,0
MIR3197,0,0,0,0,0,0
MIR3198-1,0,0,0,0,0,0
MIR3199-1,0,0,0,0,0,0
MIR32,0,0,0,0,0,0
MIR3200,0,0,0,0,0,0
MIR3201,0,0,0,0,0,0
MIR3202-1,0,0,0,0,0,0
MIR320A,0,0,0,0,0,0
MIR320B1,0,0,0,0,0,0
MIR320B2,0,1,0,0,1,0
MIR320C1,0,0,0,0,0,0
MIR320C2,0,0,0,0,0,0
MIR320D1,0,0,0,0,0,0
MIR320D2,0,0,0,0,0,0
MIR320E,0,0,0,0,0,0
MIR323A,0,0,0,0,0,0
MIR323B,0,0,0,0,0,0
MIR324,1,8,3,1,3,2
MIR325,0,0,0,0,0,0
MIR326,0,0,0,0,0,0
MIR328,0,0,0,0,0,0
MIR329-1,0,0,0,0,0,0
MIR329-2,0,0,0,0,0,0
MIR331,0,0,0,0,1,0
MIR337,0,0,0,0,0,0
MIR339,0,0,0,0,0,1
MIR33A,0,0,0,0,0,0
MIR33B,0,0,0,0,1,0
MIR340,0,0,0,0,0,0
MIR342,0,0,0,0,0,0
MIR345,0,0,0,0,0,0
MIR346,0,0,0,0,0,0
MIR34AHG,2,1,3,1,6,4
MIR34B,0,0,0,0,0,0
MIR34C,0,0,0,0,0,0
MIR3591,0,0,0,0,0,0
MIR3609,0,0,0,0,0,0
MIR361,0,0,0,0,0,0
MIR3611,0,0,0,0,0,0
MIR3612,0,0,0,0,0,0
MIR3613,0,0,0,0,0,1
MIR3616,0,0,0,0,0,0
MIR3617,0,0,0,0,0,0
MIR3619,0,0,0,0,0,0
MIR362,0,0,0,0,0,0
MIR3621,0,0,0,0,0,0
MIR3622B,0,0,0,1,1,1
MIR3646,0,0,0,0,0,0
MIR3648-2,1,9,1,1,0,5
MIR3649,0,0,0,0,0,0
MIR3657,0,0,0,0,0,0
MIR3659,0,0,0,0,0,0
MIR365A,0,0,0,0,0,0
MIR3660,0,0,0,0,0,0
MIR3661,0,0,0,0,0,0
MIR3663,0,0,0,0,0,0
MIR3663HG,0,0,0,0,0,0
MIR3664,0,0,0,0,0,0
MIR3666,0,0,0,0,0,0
MIR3667,0,0,0,0,0,0
MIR3668,0,0,0,0,0,0
MIR367,0,0,0,0,0,0
MIR3670-1,0,0,0,0,0,0
MIR3670-2,0,0,0,0,0,0
MIR3670-3,0,0,0,0,0,0
MIR3671,1,1,1,1,1,2
MIR3672,0,0,0,0,0,0
MIR3675,0,0,0,0,0,0
MIR3677,0,0,0,0,0,0
MIR3678,0,0,0,0,0,0
MIR3679,0,0,0,0,0,0
MIR3680-1,0,0,0,0,0,0
MIR3680-2,0,0,0,0,0,0
MIR3681,0,0,0,0,0,0
MIR3681HG,4,3,0,2,7,2
MIR3682,0,0,0,0,0,0
MIR3683,0,0,0,0,0,0
MIR3684,0,0,0,0,0,0
MIR3685,0,0,0,0,0,0
MIR3686,0,0,0,0,0,0
MIR3687-2,0,0,0,0,0,0
MIR3688-1,0,0,0,0,0,0
MIR3689A,0,0,0,0,0,0
MIR3689B,0,0,0,0,0,0
MIR3689C,0,0,0,0,0,0
MIR3689D1,0,0,0,0,0,0
MIR3689D2,0,0,0,0,0,0
MIR3689E,0,0,0,0,0,0
MIR3689F,0,0,0,0,0,0
MIR369,0,0,0,0,0,0
MIR3690,0,0,0,0,0,0
MIR3691,0,0,0,0,0,0
MIR3692,0,0,0,0,0,0
MIR370,0,0,0,0,0,0
MIR3713,0,0,0,0,0,0
MIR373,0,0,0,0,0,0
MIR374A,0,0,0,0,0,0
MIR374B,0,0,0,0,0,0
MIR375,0,0,0,0,0,0
MIR377,0,0,0,0,0,0
MIR378A,0,0,0,0,0,0
MIR378B,0,0,0,0,0,0
MIR378C,0,0,0,0,0,0
MIR378D1,0,0,0,0,0,0
MIR378E,0,0,0,0,0,0
MIR378F,0,0,0,0,0,0
MIR378G,0,0,0,0,0,0
MIR378H,0,0,0,0,0,0
MIR379,0,0,0,0,0,0
MIR380,0,0,0,0,0,0
MIR381,0,0,0,0,0,0
MIR381HG,0,0,0,0,0,0
MIR383,0,0,0,0,0,0
MIR3907,0,0,0,0,0,1
MIR3908,0,0,0,0,0,0
MIR3909,0,1,1,0,0,0
MIR3910-1,0,0,0,0,0,0
MIR3912,0,0,0,0,0,0
MIR3913-1,0,0,0,0,0,0
MIR3914-1,0,0,0,0,0,0
MIR3915,0,0,0,0,0,0
MIR3919,0,0,0,0,0,0
MIR3920,0,0,0,0,0,0
MIR3921,0,0,0,0,0,0
MIR3922,0,0,0,0,0,0
MIR3923,0,0,0,0,0,0
MIR3924,0,0,0,0,0,0
MIR3925,0,0,0,0,0,0
MIR3926-1,0,0,0,0,0,0
MIR3927,0,0,0,0,0,0
MIR3928,0,0,0,0,0,0
MIR3929,0,0,0,0,0,0
MIR3934,7,0,5,1,1,4
MIR3935,0,0,0,0,0,0
MIR3936,2,1,3,3,9,3
MIR3936HG,242,55,103,175,201,68
MIR3937,0,0,0,0,0,0
MIR3938,0,0,0,0,0,0
MIR3939,0,0,0,0,1,0
MIR3941,0,0,1,0,0,0
MIR3942,0,0,0,0,0,1
MIR3943,0,0,0,0,0,0
MIR3944,0,0,0,0,0,0
MIR3945,0,0,0,0,0,0
MIR3972,0,0,0,0,0,0
MIR3973,0,0,0,0,0,0
MIR3976,0,0,0,0,0,0
MIR3976HG,0,0,0,0,0,2
MIR3978,0,0,0,0,0,0
MIR409,0,0,0,0,0,0
MIR410,0,0,0,0,0,0
MIR411,0,0,0,0,0,0
MIR412,0,0,0,0,0,0
MIR421,0,0,0,0,2,4
MIR422A,0,0,0,0,0,0
MIR425,0,0,0,0,0,0
MIR4252,0,0,0,0,0,0
MIR4253,0,0,0,0,0,0
MIR4254,0,0,0,0,0,0
MIR4255,0,0,0,0,0,0
MIR4257,4,2,2,2,0,0
MIR4258,0,0,0,1,0,0
MIR4259,0,0,0,0,0,0
MIR4261,0,0,0,0,0,0
MIR4262,0,0,0,0,0,0
MIR4263,0,0,0,0,0,0
MIR4264,0,0,0,0,0,0
MIR4265,1,0,0,0,0,0
MIR4266,0,0,0,0,0,0
MIR4267,0,0,0,0,0,0
MIR4268,0,0,0,0,0,0
MIR4269,1,0,0,1,0,0
MIR4270,0,0,0,0,0,0
MIR4271,0,0,0,0,0,0
MIR4274,0,0,0,0,0,0
MIR4276,0,0,0,0,0,0
MIR4277,0,0,0,0,0,0
MIR4279,0,0,0,0,0,0
MIR4280,0,0,0,0,0,0
MIR4281,0,0,0,0,0,0
MIR4282,0,0,0,0,0,0
MIR4283-1,0,0,0,0,0,0
MIR4283-2,0,0,0,0,0,0
MIR4284,0,0,0,0,0,0
MIR4285,0,0,0,0,0,0
MIR4286,0,0,0,0,0,0
MIR4287,0,0,0,0,0,0
MIR4288,0,0,0,0,0,0
MIR4289,0,0,0,0,0,0
MIR429,0,0,0,0,0,0
MIR4290,0,0,0,0,0,0
MIR4290HG,0,0,0,0,0,0
MIR4291,0,0,0,0,0,0
MIR4292,0,0,0,0,0,0
MIR4293,0,0,0,0,0,0
MIR4294,0,0,0,0,0,0
MIR4295,0,0,0,0,0,0
MIR4296,0,0,0,0,0,0
MIR4297,0,0,0,0,0,0
MIR4298,0,0,0,0,0,0
MIR4299,0,0,0,0,0,0
MIR4300,0,0,0,0,0,0
MIR4300HG,0,0,0,0,0,0
MIR4301,0,0,0,0,0,0
MIR4303,0,0,0,0,0,0
MIR4304,0,0,0,0,0,0
MIR4305,0,0,0,0,0,0
MIR4306,0,0,0,0,0,0
MIR4307,0,0,0,0,0,0
MIR4307HG,0,0,2,0,0,1
MIR4308,0,0,0,0,0,0
MIR4309,0,0,0,0,0,0
MIR4310,0,0,0,0,0,0
MIR4311,0,0,0,0,0,0
MIR4312,0,0,0,0,0,0
MIR4314,0,0,0,0,0,0
MIR4316,0,0,0,0,0,0
MIR4318,0,0,0,0,0,0
MIR4319,0,0,0,0,0,0
MIR4322,0,0,0,0,0,0
MIR4323,0,0,0,0,0,0
MIR4324,0,0,0,0,0,0
MIR4325,0,0,0,0,0,0
MIR4326,0,0,0,0,0,0
MIR4327,0,0,0,0,0,0
MIR4330,0,0,0,0,0,0
MIR4417,0,0,0,0,0,0
MIR4418,0,0,0,0,0,0
MIR4419A,0,0,0,0,0,0
MIR4419B,0,0,0,0,0,0
MIR4420,0,0,0,0,0,0
MIR4421,0,0,0,0,0,0
MIR4422,0,0,0,0,0,0
MIR4422HG,0,0,0,0,2,0
MIR4423,0,0,0,0,0,0
MIR4424,0,0,0,0,0,0
MIR4425,0,0,0,0,0,0
MIR4427,0,0,0,0,0,0
MIR4428,0,0,0,0,0,0
MIR4429,0,0,0,0,0,0
MIR4431,0,0,0,0,0,0
MIR4432,0,0,0,0,0,0
MIR4432HG,4,0,0,0,0,0
MIR4433B,0,0,0,0,0,0
MIR4435-1,0,0,0,0,0,0
MIR4435-2,0,0,0,0,0,0
MIR4435-2HG,529,868,657,453,379,652
MIR4436A,0,0,0,0,0,0
MIR4436B1,0,0,0,0,0,0
MIR4436B2,0,0,0,0,0,0
MIR4437,0,0,0,0,0,0
MIR4438,0,0,0,0,0,0
MIR4439,0,0,0,0,0,0
MIR4440,0,0,0,0,0,0
MIR4441,0,0,1,0,1,0
MIR4443,0,0,0,0,0,0
MIR4444-2,0,0,0,0,0,0
MIR4445,0,0,0,0,0,0
MIR4446,0,0,0,0,0,0
MIR4447,0,0,0,0,0,0
MIR4448,0,0,0,0,0,0
MIR4449,0,0,0,0,0,0
MIR4450,0,0,0,0,0,0
MIR4451,0,0,0,0,0,0
MIR4452,0,0,0,0,0,0
MIR4455,0,0,0,0,0,0
MIR4456,0,0,0,0,0,0
MIR4457,0,0,0,0,0,0
MIR4458HG,302,270,478,650,407,414
MIR4459,0,0,0,0,0,0
MIR4460,0,0,0,0,0,0
MIR4462,0,0,0,0,0,0
MIR4463,0,0,0,0,0,0
MIR4464,0,0,0,0,0,0
MIR4465,0,0,0,0,0,0
MIR4466,0,0,0,0,0,0
MIR4470,0,0,0,0,0,0
MIR4471,0,0,0,0,0,0
MIR4472-1,0,0,0,0,0,0
MIR4472-2,0,0,0,0,0,0
MIR4473,0,0,0,0,0,0
MIR4474,0,0,0,0,0,0
MIR4475,0,0,0,0,0,0
MIR4476,0,0,0,0,0,0
MIR4477B,0,0,0,0,1,0
MIR4478,0,0,0,0,0,0
MIR4479,0,0,0,0,0,0
MIR448,0,0,0,0,0,0
MIR4480,0,0,0,0,0,0
MIR4482,0,0,1,0,0,1
MIR4484,0,0,0,0,0,0
MIR4486,0,0,0,0,0,0
MIR4487,0,0,0,0,0,0
MIR4488,0,0,0,0,0,0
MIR4489,0,0,0,0,0,0
MIR4490,0,0,0,0,0,0
MIR4491,0,0,0,0,0,0
MIR4493,0,0,0,0,0,0
MIR4494,0,0,0,0,0,0
MIR4495,0,0,0,0,0,0
MIR4497,0,0,0,0,0,0
MIR4498,0,0,0,0,0,0
MIR4499,0,0,0,0,0,0
MIR449A,0,0,0,0,0,0
MIR449B,0,0,0,0,0,0
MIR449C,0,0,0,0,0,0
MIR4500,0,0,0,0,0,0
MIR4500HG,1,0,0,2,0,2
MIR4502,0,0,0,0,0,0
MIR4503,0,0,0,0,0,0
MIR4504,0,0,0,0,0,0
MIR4505,0,0,0,0,0,0
MIR4506,1,0,1,0,0,0
MIR4507,0,0,0,0,0,0
MIR4508,0,0,0,0,0,0
MIR4509-2,0,0,0,0,0,0
MIR4509-3,0,0,0,0,0,0
MIR450A1,0,0,0,0,0,0
MIR450A2,0,0,0,0,0,0
MIR450B,0,0,0,0,0,0
MIR4510,0,0,0,0,0,0
MIR4511,0,0,0,0,0,0
MIR4512,0,0,0,0,0,1
MIR4513,0,0,0,0,0,0
MIR4514,0,0,0,0,0,0
MIR4515,0,0,0,0,0,0
MIR4516,0,0,0,0,0,0
MIR4518,0,0,0,0,0,0
MIR4520-1,0,0,0,0,0,0
MIR4522,0,0,0,0,0,0
MIR4524B,2,1,0,1,2,4
MIR4525,0,0,0,0,0,0
MIR4526,0,0,0,0,0,0
MIR4527,0,0,0,0,0,0
MIR4528,0,0,0,0,0,0
MIR4529,0,0,0,0,0,0
MIR4530,0,0,0,0,0,0
MIR4532,0,0,0,0,0,0
MIR4533,0,0,0,0,0,0
MIR4535,0,0,0,0,0,0
MIR4536-2,0,0,0,0,0,0
MIR4537,0,0,0,0,0,0
MIR4538,0,0,0,0,0,0
MIR4539,0,0,0,0,0,0
MIR454,0,0,0,0,0,0
MIR4540,0,0,0,0,0,0
MIR455,0,0,0,0,0,0
MIR4632,0,0,0,0,0,0
MIR4633,0,0,0,0,0,0
MIR4634,0,0,0,0,0,0
MIR4635,0,0,0,0,0,1
MIR4636,0,0,0,0,0,0
MIR4637,0,0,0,0,0,0
MIR4639,0,0,0,0,0,0
MIR4641,0,0,0,0,0,0
MIR4642,0,0,0,0,0,0
MIR4643,0,0,0,0,0,0
MIR4644,0,0,0,0,0,0
MIR4645,0,0,0,0,0,0
MIR4646,0,0,0,0,0,0
MIR4648,0,0,0,0,0,0
MIR4650-1,0,0,0,0,0,0
MIR4650-2,0,0,0,0,0,0
MIR4652,0,0,0,0,0,0
MIR4653,0,0,0,0,0,1
MIR4654,0,0,0,0,0,0
MIR4655,0,0,0,0,0,0
MIR4656,0,0,0,0,0,0
MIR4659A,0,0,0,0,0,0
MIR466,0,0,0,0,0,0
MIR4660,0,0,0,0,0,0
MIR4661,0,0,0,0,0,0
MIR4662B,0,0,0,0,0,0
MIR4663,0,0,0,0,0,0
MIR4664,0,0,0,0,0,0
MIR4665,0,0,0,0,0,0
MIR4666A,0,0,0,0,0,0
MIR4666B,0,0,0,0,0,0
MIR4667,0,0,0,0,0,0
MIR4668,0,0,0,1,0,2
MIR4669,0,0,0,0,0,0
MIR4670,0,0,0,0,0,0
MIR4671,0,0,0,0,0,0
MIR4672,0,0,0,0,0,0
MIR4673,0,0,0,0,0,0
MIR4674,0,0,0,0,0,0
MIR4675,0,0,0,0,0,0
MIR4676,0,0,0,0,0,0
MIR4677,1,0,0,0,0,0
MIR4679-2,0,0,0,0,0,0
MIR4681,0,0,0,0,0,0
MIR4682,0,0,0,0,0,0
MIR4684,0,0,0,0,0,0
MIR4685,0,0,0,0,0,0
MIR4686,0,0,0,0,0,0
MIR4688,0,0,0,1,0,1
MIR4689,0,0,0,0,0,0
MIR4690,0,0,0,0,0,0
MIR4692,0,0,0,0,0,0
MIR4693,0,0,0,0,0,0
MIR4694,0,0,0,0,0,0
MIR4695,0,0,0,0,0,0
MIR4696,0,0,0,0,0,0
MIR4698,0,0,0,0,0,0
